105/06/01,4865981,1078875782,220.00,223.00,219.50,222.00,2.00,3772
105/06/01,1768620,954463,814157
105/06/01,359000,315000,44000
105/06/01,92000,0,92000
105/06/02,11634747,2561833852,225.00,225.50,214.50,215.00,-7.00,7744
105/06/02,3363902,5058300,-1694398
105/06/02,383000,323000,60000
105/06/02,171000,15000,156000
105/06/03,5387557,1173756247,216.00,219.00,216.00,219.00,4.00,3979
105/06/03,3348444,1998000,1350444
105/06/03,157000,211000,-54000
105/06/03,2000,60000,-58000
